rank,film_title,film_year,overall_rating,language,genre,mpaa_rating,director,actors,plot_summary
379,Glory,1989,3.1,English,War/Historical,R,Edward Zwick,"Denzel Washington, Matthew Broderick, Morgan Freeman, Cary Elwes, Andre Braugher, John Finn","The first all black volunteer army is confronted by hatred, racism and fear from both the Union and the Confederates.  A white man is in charge of controlling the company."
380,Anomalisa,2015,3.3,English,Animation/Comedy,R,"Duke Johnson, Charlie Kaufman","Jennifer Jason Leigh, David Thewlis, Tom Noonan",A depressed customer service rep faces the mundanity of his life and one day finds someone he can finally connect with.
381,The Heiress,1949,3.2,English,Romance/Drama,NR,William Wyler,"Montgomery Clift, Olivia de Havilland, Ralph Richardson, Miriam Hopkins, Vanessa Brown, Betty Linley","In this adaptation of Henry James' Washington Square, mousy heiress Catherine, beaten down by her domineering father, falls in love with a handsome young stranger. But her father fears the young man may be a fortune hunter, and attempts to thwart their romance.  The experience that follows produces a side of Catherine no one imagined."
382,Castle in the Sky ( Tenkû no shiro Rapyuta ),1986,3.1,Japanese,Anime/Adventure,NR,Hayao Miyazaki,"James Van Der Beek, Anna Paquin, Cloris Leachman, Mark Hamill, Mandy Patinkin, Jim Cummings",A young girl floats from the sky after a shady government agency and a band of pirates clash over a crystal she possesses. A young boy finds her and together they begin an exciting adventure that leads them to a Laputa - the castle in the sky.
383,The Truman Show,1998,3.0,English,Comedy/Drama,PG,Peter Weir,"Jim Carrey, Laura Linney, Ed Harris, Natascha McElhone, Brian Delate, Noah Emmerich",An insurance salesman discovers that his entire life has been a television show.
384,"Crouching Tiger, Hidden Dragon ( Wo hu cang long )",2000,3.0,Mandarin,Action/Adventure,PG-13,Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Pei-pei Cheng, Chen Chang, Sihung Lung",A noble's daughter is wanting to break away from her family way when she decides to reek havoc in a Chinese town with suspecting skill.
385,Harold and Maude,1971,3.1,English,Comedy/Romance,PG,Hal Ashby,"Ruth Gordon, Bud Cort, Vivian Pickles, Cyril Cusack, Ellen Geer, Tom Skerritt",A dying old woman obsessed with living and a living young boy obsessed with dying meet to form a bond that can't be broken.
386,Shoplifters ( Manbiki kazoku ),2018,3.3,Japanese,Crime/Drama,R,Hirokazu Koreeda,"Kirin Kiki, Lily Franky, Sôsuke Ikematsu, Sakura Andô, Mayu Matsuoka, Jyo Kairi",A family of small-time crooks use shoplifting to help ends meet but their operation comes under new scrutiny when they take in a child from the streets.
387,Hotel Rwanda,2004,3.1,English,Drama/Historical,PG-13,Terry George,"Don Cheadle, Nick Nolte, Sophie Okonedo, Hakeem Kae-Kazim, Joaquin Phoenix, Antonio David Lyons",A hotel manager tries to save the lives tutsi refugees while the Hutu militia take over Rwanda.
388,Phoenix,2015,3.4,German,Drama/Historical,PG-13,Christian Petzold,"Nina Hoss, Ronald Zehrfeld, Nina Kunzendorf, Michael Maertens, Imogen Kogge, Kirsten Block",
389,Big Fish,2003,3.0,English,Drama/Fantasy,PG-13,Tim Burton,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter, Alison Lohman","Edward Bloom is a sales man who is dying and wants to talk to his son. The son doesn't want to hear his tales and wants to know the facts about his father's life but finds out in his fiction there really is truth, in an adventure that only Tim Burton can create."
390,The Hobbit: An Unexpected Journey,2012,3.0,English,Adventure/Fantasy,PG-13,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis, Aidan Turner, Benedict Cumberbatch","Bilbo Baggins is swept up on an adventure with Gandalf the Grey and thirteen dwarves, led by Thorin Oakenshield, in order to reclaim the Dwarf Kingdom of Erebor from the fearsome dragon Smaug but before they get to the Lonely  Mountain they must pass through the Goblin Caves where Bilbo will find Gollum and a his ""precious""."
391,Amores Perros ( Love's a Bitch ),2001,3.1,Spanish,Thriller/Drama,R,Alejandro González Iñárritu,"Emilio Echevarr, Gael García Bernal, Adriana Barraza, Rodrigo Murray, Goya Toledo, Álvaro Guerrero","A severe car crash involves three different stories as they cope with life through changes, a different kind of love, and many regrets."
392,Kick-Ass,2010,3.0,English,Action/Comedy,R,Matthew Vaughn,"Aaron Johnson, Nicolas Cage, Chloe Moretz, Christopher Mintz-Plasse, Mark Strong, Xander Berkeley","Dave Lizewski live a normal, boring, overlooked life. Being a fan of comic books, one day he decides to become superhero despite  having no powers or training to speak of."
393,Evil Dead 2,1987,3.1,English,Horror/Comedy,R,Sam Raimi,"Bruce Campbell, Dan Hicks, Sarah Berry, Kassie DePaiva, Ted Raimi, Denise Bixler","Ash, Bruce Cambell, takes his girlfriend to a remote cabin in the woods where he finds a recorder. He plays the tape and summons the evil that lurks in the woods."
394,Dawn of the Planet of the Apes,2014,3.1,English,Action,PG-13,Matt Reeves,"Andy Serkis, Gary Oldman, Jason Clarke, Judy Greer, Keri Russell, Toby Kebbell","Ten years after a virus has decimated humanity and given rise to a growing nation of genetically-modified apes, led by Caesar, the two sides come to a fragile peace. But this peace will not last and soon a war arises - one whose outcome will determine which species remains the dominant force on the planet."
395,Lonesome Dove,1989,3.1,English,Adventure/Western,NR,Simon Wincer,"Robert Duvall, Tommy Lee Jones, Danny Glover, Robert Urich, Frederic Forrest, D.B. Sweeney","The epic miniseries follows Augustus McCrae and Woodrow Call - two former Texas Rangers looking to move their cattle from the south up to Montana. Horse thieves, Indian attacks and a half-breed killer on a quest for revenge are just a few of the problems they will encounter on this dangerous mission."
396,Remember the Titans,2000,3.0,English,Drama/Sport,PG,Boaz Yakin,"Denzel Washington, Will Patton, Wood Harris, Ryan Hurst, Donald Faison, Ethan Suplee","Two suburban Virginia high schools are integrated, and the new African American puts his job on the line to bring the team together."
397,True Romance,1993,3.1,English,Crime/Drama,R,Tony Scott,"Christian Slater, Patricia Arquette, Val Kilmer, Gary Oldman, Tom Sizemore, Christopher Walken","A petty but intelligent thief marries a hooker in which they steal coke, try to sell it, and run from the owners - that could end up in a show down of thieves and mobsters."
398,"Wages of Fear, The ( salaire de la peur, Le )",1953,3.2,French,Thriller/Adventure,NR,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck, Jo Dest, Folco Lulli, William Tubbs",In need of Nitroglycerin a group of brave men try to transport it without the proper safety equipment.
399,Captain America: Civil War,2016,3.2,English,Action/Sci-Fi,PG-13,"Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Paul Rudd, Elizabeth Olsen, Scarlett Johansson, Jeremy Renner","With the world reeling from the incidents in Sakovia, a new accord is introduced to bring the heroes in line. But for Captain America, who is trying to protect his friend Bucky (aka The Winter Solider) it goes against all he stands for and soon creates a rift in The Avengers - one that will lead to a battle between the two sides."
400,"Battle of Algiers,The ( Battaglia di Algeri, La )",1966,3.2,Italian,War/Historical,PG-13,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Samia Kerbash, Fusia El Kader, Yacef Saadi, Ugo Paletti",An accurate account of the bloodiest revolutions known to man.
401,Anatomy of a Murder,1959,3.2,English,Mystery/Drama,PG,Otto Preminger,"James Stewart, Ben Gazzara, Lee Remick, George C. Scott, Orson Bean, Eve Arden","During a murder trial, a man claims that he was insane while he watched his wife being raped and killed.  Will the jury buy his story...."
402,In Bruges,2008,3.1,English,Comedy/Drama,R,Martin McDonagh,"Rudy Blomme, Olivier Bonjour, Mark Donovan, Colin Farrell, Ralph Fiennes, Brendan Gleeson","Two hitmen find themselves living in Bruges, Belgium where they disagree on life's final consequences: death and happiness."
403,The Manchurian Candidate,1962,3.1,English,Drama/Thriller,PG-13,John Frankenheimer,"Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury, Henry Silva, James Gregory","Former POW's recall the same events of a heroic moment, but have nightmares that the event occurred different than remembered."
404,Dune,2021,3.2,English,Sci-Fi/Drama,PG-13,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Jason Momoa, Josh Brolin, Charlotte Rampling, Javier Bardem","Based on Frank Herbert's ground-breaking novel, the film follows the incredible journey of Paul Atreides, a noble's son who holds within himself a great destiny - one that revolves around the most dangerous planet in the galaxy, the desert world of Arrakis and the most valuable commodity it holds: the Spice, Melange."
405,Rise of the Planet of the Apes,2011,3.0,English,Action/Sci-Fi,PG-13,Rupert Wyatt,"James Franco, Freida Pinto, John Lithgow, Tom Felton, Andy Serkis, Brian Cox",Prequel to Planet of the Apes in which scientists working on genetic experiments creates a race of intelligent apes that leads to a war to determine which species will ultimately dominate the Earth.
406,Boyz n the Hood,1991,3.1,English,Crime/Drama,R,John Singleton,"Laurence Fishburne, Cuba Gooding Jr., Ice Cube, Morris Chestnut, Nia Long, Angela Bassett","In South Central Los Angeles three friends grow up in an inner-city neighborhood characterized by drugs, violence and crime. Escape, adapt, survive - there are no easy choices and every action has its consequence."
407,My Fair Lady,1964,3.1,English,Musical/Crime,PG,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Gladys Cooper, Theodore Bikel, Wilfrid Hyde-White",A poor flower girl is taken in by a English language master to be taught how to sing and speak properly on based on a bet between himself and his friend putting the poor flower girl in the middle.
408,A Charlie Brown Christmas,1965,3.1,English,Animation/Family,G,Bill Melendez,"Peter Robbins, Sally Dryer, Geoffrey Ornstein, Karen Mendelson, Christopher Shea, Tracy Stratford","Charlie Brown seeks the true meaning of Christmas beyond the materialism that seems to be all around him. When its suggested he direct the school play, he takes on the task, hoping to restore the spirit of Christmas."
409,I Am Not Your Negro,2017,3.4,English,Documentary,PG-13,Raoul Peck,Samuel L. Jackson,"Samuel L. Jackson narrates this documentary in which director Raoul Peck shares the vision of author James Baldwin in a his unfinished novel ""Remember This House"" about race in America focusing on the lives of three of his friends, all who met with death: Martin Luther King Jr., Medgar Evers and Malcolm X."
410,Planet of the Apes,1968,3.1,English,Drama/Sci-Fi,G,Franklin J. Schaffner,"Charlton Heston, Kim Hunter, Roddy McDowall, Maurice Evans, Linda Harrison, James Whitmore",A group of astronauts are enslaved by a civilization of talking apes in the near future.
411,Letters from Iwo Jima,2006,3.1,Japanese,War/Historical,R,Clint Eastwood,"Ken Watanabe, Kazunari Ninomiya, Hiroshi Watanabe, Tsuyoshi Ihara, Ryo Kase, Shido Nakamura",The battle of Iwo Jima as taught from the Japanese point of view using culture as the difference between Americans and Japanese.
412,The African Queen,1951,3.1,English,Adventure/Romance,PG,John Huston,"Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull, Theodore Bikel, Walter Gotell","A missionary and a river boat captain take the journey to attack the enemy on the boat ""The Africa Queen"" during WWI."
413,Shadow of a Doubt,1943,3.1,English,Thriller/Mystery,PG,Alfred Hitchcock,"Joseph Cotten, Teresa Wright, Henry Travers, Patricia Collinge, Hume Cronyn, Macdonald Carey",A young woman who has not seen her uncle in years is excited to finally see him again - but that changes as her suspicion that he is a murder comes closer and closer to being the truth.
414,Edge of Tomorrow,2014,3.1,English,Action/Sci-Fi,PG-13,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson, Jonas Armstrong, Tony Way","On an alien battlefield - the war is finally coming to an end - but for one soldier, the war never ends as he is caught in a time loop reliving the same battle over and over again. Having been thrown into the fire untested and untrained - each time he learns more about becoming a soldier - and just maybe he will find out what happens when he survives the assault."
415,Raise the Red Lantern ( Da hong deng long gao gao gua ),1992,3.2,Mandarin,Drama,PG,Yimou Zhang,"Li Gong, Caifei He, Cuifen Cao, Jingwu Ma, Qi Zhao, Lin Kong","1920s China - the young Songlian if forced into marriage with the powerful lord Chen Zuoqian following her father's death. He already has three wives, and the women are constantly scheming to be the chosen one he spends the night with - signified by a red lantern - as the incentives - status, power, privilege - cannot be ignored. But his power struggle will soon get out of hand."
